status,product_area,response,justification,request_type
escalated,account_access,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — Escalated: user is demanding an action only a human can perform (score change, forced access restore, banning a merchant). Detected in: 'i lost access to my claude team workspace after our it admin removed my seat. 
please restore my acc'.",product_issue
escalated,assessment_proctoring,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — Escalated: user is demanding an action only a human can perform (score change, forced access restore, banning a merchant). Detected in: 'i completed a hackerrank test, but the recruiter rejected me. please review my answers, i
ncrease my'.",product_issue
escalated,card_transactions,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — Escalated: user is demanding an action only a human can perform (score change, forced access restore, banning a merchant). Detected in: 'i used my visa card to buy something online, but the merchant sent the wrong product 
and is ignorin'.",product_issue
replied,interview_platform,"If you're not satisfied with your mock interview, please contact help@hackerrank.com for a refund request.","[Source: 3282259518-purchase-mock-interviews.md] states that if you are not satisfied with your mock interview, you should contact help@hackerrank.com. The support team will review your request.",product_issue
escalated,billing,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — Escalated: user is demanding an action only a human can perform (score change, forced access restore, banning a merchant). Detected in: 'i had an issue with my payment with order id: cs_live_abcdefgh. can you help me?
 give me my money'.",product_issue
escalated,infosec,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — [Source: 9695299159-onboarding-candidates.md, 1202195004-jobvite---hackerrank-integration-configuration-guide.md, 2634495557-gdpr-faqs-for-hackerrank-for-work.md, 1560975739-search-for-jobs.md, 6488043690-canceling-an-interview.md, 7401637722-interviewplanner-hackerrank-integration-faqs-.md] do not provide information about filling in forms for the infosec process of the company.",feature_request
escalated,assessment_proctoring,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — None of the provided source files (9788355678-obtain-skill-based-certifications.md, 3121307537-july-2025-release-notes.md, 9607697321-review-integrity-issues-in-proctor-mode.md, 7459195623-taleo.md, 9264843630-best-practices-for-running-group-assessments-in-proctor-mode.md, 8941367927-certifications-faqs.md) address the issue of not being able to see the 'Apply' tab, which is the user's problem.",product_issue
escalated,assessment_proctoring,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — The retrieved documentation does not address the issue of submissions not working across any challenges on the website. The provided sources discuss topics such as obtaining skill-based certifications, code quality, reviewing integrity issues in proctor mode, release notes, creating custom reports, and best practices for running group assessments in proctor mode, but none of these sources provide information that can help resolve the issue of submissions not working.",product_issue
replied,assessment_proctoring,"To resolve the Zoom connectivity issue, review the detected issues on the setup screen and select **See Fix** to resolve them. You can also check the minimum technical requirements and use supported web browsers to prevent compatibility issues.",[Source: 8404005945-creating-an-interview.md] and [Source: 4368819843-april-2026-release-notes.md] describe the system compatibility check and troubleshooting steps for WebSocket connectivity issues. ,product_issue
replied,assessment_proctoring,"To reschedule your HackerRank assessment, you may want to reach out to the HackerRank point of contact or raise a support request by writing to support@hackerrank.com, as mentioned in the Goodtime - HackerRank Integration Guide.","[Source: 2342466364-rescheduling-an-interview.md] explains the process of rescheduling an interview. However, for a HackerRank assessment, the provided documentation does not explicitly state the steps to reschedule. The closest relevant information is about rescheduling an interview, which may not directly apply to assessments.",feature_request
escalated,interview_setup,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — [Source: 3121307537-july-2025-release-notes.md], [Source: 4368819843-april-2026-release-notes.md], [Source: 1999755553-workday---hackerrank-tests-user-guide.md], [Source: 1151935613-using-virtual-lobby-in-hackerrank-interviews.md], [Source: 2652374569-access-candidate-timeline.md], [Source: 1263202297-observation-mode-in-interviews.md] do not provide information about inactivity times or how to extend them for interviewers and candidates.",feature_request
replied,account_access,"To resolve the issue, try clearing your browser cache and removing all saved HackerRank passwords. You can also select 'Forgot Password' on the login page to reset your credentials if needed.","[Source: 4147773232-troubleshooting-login-issues.md] explains how to resolve common login issues, including Issue 3: Password or cache, which may be the cause of the problem. ",product_issue
replied,account_access,"To remove an interviewer, go to Interviews > Templates, click More options next to the template, select Share, choose the user to remove, and click Remove User, then Confirm.","[Source: 2837093779-standardizing-interviews-using-templates.md] describes the steps to remove access for any user or team from an interview template. The passage outlines a 5-step process to remove a user: go to Interviews > Templates, click the More options menu next to the template and select Share, select the user or team to remove, select Remove User from the drop-down menu, and click Confirm in the confirmation dialog box.",product_issue
replied,subscription,"To pause your subscription, ensure you have an active subscription that started at least 30 days ago and a monthly subscription for either the Individual Monthly - Basic or Interview Monthly plan.","[Source: 5157311476-pause-subscription.md] explicitly states the conditions to use the Pause Subscription feature, including having an active subscription that started at least 30 days ago and a monthly subscription for one of the specified plans.",product_issue
replied,api_integration,"To troubleshoot Claude stopping working completely, try checking the status page for active incidents and ensure you're not using a VPN. You can also try disabling browser extensions, clearing cache and cookies, and checking for firewall or network restrictions blocking the connection to the Claude API endpoint.","[Source: 12466728-troubleshoot-claude-error-messages.md] describes troubleshooting steps for Claude errors, including checking the status page for active incidents. [Source: 10366432-i-m-getting-an-api-connection-error-how-can-i-fix-it.md] provides steps to fix API connection errors, which may be relevant to Claude stopping working completely.",product_issue
escalated,account_access,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — Deterministic escalation: high-risk keyword detected (fraud/theft/identity crime/card stolen). Matched in: 'my identity has been stolen, wat should i do identity theft'. Automated handling is unsafe.",product_issue
escalated,resume_builder,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — [Source: 9106957203-create-a-resume-with-resume-builder.md] and other sources describe how to create and use a resume with Resume Builder, but do not address the issue of Resume Builder being down.",product_issue
replied,certificate,"To update the name on your certificate, open your certificate page, enter the name you want to display in the Full Name field, and click Regenerate Certificate. Then, click Update Name in the confirmation dialog.",[Source: 8941367927-certifications-faqs.md] explicitly states the steps to update the name on a certificate.,product_issue
escalated,billing,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.",ESCALATED — Deterministic escalation: high-risk keyword detected (fraud/theft/identity crime/card stolen). Matched in: 'how do i dispute a charge dispute charge'. Automated handling is unsafe.,product_issue
replied,security_vulnerability,"To report the security vulnerability you've found, please refer to the Responsible Disclosure Policy and submit your report at https://hackerone.com/297a385f-b3bd-4ecd-9466-7d9ad55371ce/embedded_submissions/new","[Source: 12119250-model-safety-bug-bounty-program.md] states that for technical vulnerabilities such as the one you've found, you should refer to the Responsible Disclosure Policy and submit your report here: https://hackerone.com/297a385f-b3bd-4ecd-9466-7d9ad55371ce/embedded_submissions/new",bug
replied,data_privacy,"To stop Claude from crawling your website, please refer to the article 'Does Anthropic crawl data from the web, and how can site owners block the crawler?' for instructions.",[Source: 8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md] provides information on how Anthropic uses robots to gather data from the public web and how site owners can block the crawler.,product_issue
escalated,card_transactions,"Thank you for reaching out. Your request has been reviewed and requires the attention of a specialist. We have escalated this to our support team, who will follow up with you directly.","ESCALATED — [Source: support.md, dispute-resolution.md, travel-support.md, fraud-protection.md, visa-rules.md] do not provide information on how to obtain urgent cash using a VISA card, and do not describe a process or steps to address the user's request.",product_issue
replied,data_privacy,"If you've allowed Claude to use your data for model training, the data retention period is at least 30 days, as stated in the privacy policy. For more information, refer to the article 'Is my data used for model training?' on the Claude privacy website.","[Source: 10166901-use-google-workspace-connectors.md] states that if you are using consumer products and have chosen to allow Claude to use your chats and coding sessions for model training, then any content you copy/paste from your Gmail or Calendar or Claude's responses which include specific information from these connectors may be used to improve our models.",product_issue
